revol_util,grade,sub_grade
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A1
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A2
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A3
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
0%,A,A4
